Lab2
Xisense
V=1.0656 V
T=300 K
Number of samples to read: 262144
Number of spectrums to average: 10
Start f for ave: 2000    f range: 2000
S.D.; Cross over t; Cross over t and f
Tableau: 
2.4733778E-8	2.4661699E-8	2.3801025E-8
1.7628233E-8	2.3842490E-8	2.3421891E-8
1.4346655E-8	2.3636510E-8	2.3357262E-8
1.2410479E-8	2.3482587E-8	2.3275276E-8
1.1257820E-8	2.3515450E-8	2.3350264E-8
1.0411864E-8	2.3624679E-8	2.3486955E-8
9.7409167E-9	2.3615209E-8	2.3498140E-8
9.0927511E-9	2.3500178E-8	2.3397908E-8
8.6299805E-9	2.3445300E-8	2.3356362E-8
8.2206926E-9	2.3357238E-8	2.3276861E-8
7.9000989E-9	2.3394559E-8	2.3320773E-8
